	RDC_C	RDC_N
pp_179312	0.24610479133333335	7.763303154666667
pp_146696	0.7849841376666666	19.325271165666667
pp_198953	0.8919997973333333	9.909943187
pp_146697	0.6438890223333333	11.755607797
pp_189255	2.961736931	23.421616099666668
pp_144688	0.8748557066666667	11.411889952333334
pp_134778	1.0286782556666667	95.02295097233332
pp_179315	0.302439425	10.057126024
pp_117816	1.656790575	31.945737956
pp_208850	2.7146309669999997	67.31558356733333
pp_146699	0.6500925413333334	13.370215880666667
pp_209084	4.620579101333334	25.552908276666667
pp_72600	0.7859197153333334	11.986826085
pp_104900	0.7935296283333334	7.107252823666667
pp_227674	1.1998482516666666	13.62691359
pp_134774	1.278086482	100.04908203333332
pp_181155	0.12570107566666666	2.657849116
pp_145491	0.9523313369999999	0.016388697666666667
pp_81114	0.204366981	3.4173086886666666
pp_111379	0.03700938633333334	78.35533136633333
pp_134773	0.8454389773333333	139.790428032
pp_144669	0.25757625133333334	6.393662580666667
pp_146703	0.004633307000000001	44.324191355
pp_146698	0.0	10.88511645
pp_179310	0.484481995	11.424335070666666
pp_162932	2.3847496103333334	12.781125369
pp_252647	0.060412831	17.289271246333332
pp_144686	0.8994022196666667	10.920476542
pp_208849	10.892819559	193.84754031333333
pp_149630	0.283977093	0.0
pp_146695	0.06567214366666667	2.3283658066666666
pp_67843	9.85619509	38.671975636666666
pp_202642	1.5268994603333335	10.491403028
pp_152533	0.459307281	3.7698537593333334
pp_189253	0.6068225656666667	5.097291805999999
pp_189254	2.364825305	15.804494753333334
pp_15644	2.9707324836666666	106.78860773000001
pp_234650	8.183940865666667	0.474599888
pp_114014	0.11132213866666667	5.325950733333333
pp_234660	8.493264585333334	0.4477960653333333
pp_191807	0.07986604433333333	1.7951877826666667
pp_146700	0.486029753	12.881811848666667
pp_197154	0.7272067263333334	5.3162319049999995
pp_144687	0.987927896	6.346273351
pp_118004	1.942616438	0.10163032033333333
pp_129809	2.173866107	34.786590421666666
pp_84865	0.2700299646666666	4.8635238906666665
pp_152534	0.24325958266666667	6.541667459
